Wall time,Step,Value
1744900351.1999152,500,12.550963401794434
1744900517.7213666,1500,13.087018966674805
1744900534.6855915,1600,14.067784309387207
1744900583.161479,1900,16.995065689086914
1744900599.7849958,2000,17.21590805053711
1744900716.415918,2700,19.36023712158203
1744900730.8475115,2800,20.446693420410156
1744900939.0517619,4100,42.577369689941406
1744901048.1495357,4800,66.15829467773438
1744901064.8864129,4900,70.67615509033203
1744901081.6612616,5000,71.47148132324219
1744901291.13745,6300,42.44345474243164
1744901307.6619623,6400,83.3372802734375
1744901355.2507284,6700,86.66300964355469
1744901371.9784496,6800,84.22395324707031
1744901419.5886712,7100,81.69580078125
1744901436.1254675,7200,80.5300521850586
1744901533.3512495,7800,91.38021087646484
1744901610.6227489,8300,96.1669692993164
1744901723.439302,9000,98.29124450683594
1744901883.1956081,10000,102.75801849365234
1744901944.195116,10400,104.98207092285156
1744902007.4418724,10800,110.13509368896484
1744902228.541413,12200,118.67654418945312
1744902290.9721367,12600,124.09443664550781
1744902307.4334798,12700,119.85784149169922
1744902338.0376108,12900,123.19820404052734
1744902371.1310425,13100,120.75917053222656
1744902467.7682595,13700,107.15869903564453
1744902589.1001785,14500,133.82711791992188
1744902619.1527026,14700,130.4720458984375
1744902635.5216873,14800,131.75437927246094
1744902683.3026748,15100,133.3531494140625
1744902795.703563,15800,131.6573944091797
1744902840.817344,16100,139.9923553466797
1744902872.2550316,16300,139.30650329589844
1744902901.6729438,16500,141.29551696777344
1744903035.0444438,17300,139.6857452392578
1744903118.336176,17800,142.28472900390625
1744903229.4268606,18500,145.24021911621094
1744903245.82866,18600,145.14476013183594
1744903343.2646928,19200,146.65237426757812
1744903357.4399407,19300,143.89312744140625
1744903532.7823052,20400,148.14418029785156
1744903564.542519,20600,147.19699096679688
1744903697.8966596,21400,148.14817810058594
1744903728.3173711,21600,147.22998046875
1744903868.8953128,22500,145.8110809326172
1744903949.8247209,23000,146.22024536132812
1744904190.523077,24500,149.03131103515625
1744904206.7787569,24600,150.1498565673828
1744904414.5517464,25900,139.79888916015625
1744904430.6341228,26000,141.76593017578125
1744904623.298226,27200,153.08827209472656
1744904671.1280704,27500,143.90565490722656
1744904799.019604,28300,153.23170471191406
1744904846.0438852,28600,147.8091583251953
1744904894.0180843,28900,151.3193359375
1744904928.3402796,29100,156.5307159423828
1744905008.8694913,29600,153.22410583496094
1744905038.9411633,29800,151.55398559570312
1744905055.2416177,29900,151.7630157470703
1744905213.4848945,30900,151.6643829345703
1744905277.912675,31300,151.97427368164062
1744905341.1178882,31700,155.9153594970703
1744905373.3584325,31900,153.16770935058594
1744905389.320402,32000,151.84657287597656
1744905435.972427,32300,151.1377716064453
1744905805.6077235,34600,163.04722595214844
1744905822.392733,34700,158.87168884277344
1744906017.1373687,35900,156.41346740722656
1744906112.2599394,36500,156.5132598876953
1744906126.1795125,36600,160.30093383789062
1744906142.5805087,36700,140.91476440429688
1744906333.6741688,37900,164.00343322753906
1744906457.427457,38700,165.77772521972656
1744906520.6559646,39100,166.8459930419922
1744906553.3904474,39300,166.63539123535156
1744906629.8585944,39800,156.9654083251953
1744906707.7347941,40300,155.57522583007812
1744906740.1051033,40500,163.4857635498047
1744906914.8328762,41600,165.8677978515625
1744907006.601636,42200,165.5863494873047
1744907022.6427486,42300,162.74803161621094
1744907243.3972623,43700,167.59837341308594
1744907259.4546685,43800,167.13853454589844
1744907289.1777039,44000,161.98484802246094
1744907399.6359987,44700,169.66358947753906
1744907492.920869,45300,167.77745056152344
1744907558.006572,45700,168.32354736328125
1744907633.7573724,46200,168.64710998535156
1744907698.3734305,46600,168.0557403564453
1744907744.9357262,46900,169.55348205566406
1744907775.2233734,47100,172.17808532714844
1744907840.6915479,47500,171.93972778320312
1744907854.5211203,47600,170.55616760253906
1744907932.9007711,48100,168.64686584472656
1744907949.2083364,48200,161.20974731445312
1744908044.173246,48800,169.52609252929688
1744908406.5157526,51100,171.8584747314453
1744908437.4487572,51300,170.98916625976562
1744908453.7208505,51400,171.9462432861328
1744908469.9613109,51500,165.81222534179688
1744908516.170961,51800,173.37338256835938
1744908548.4834504,52000,162.24610900878906
1744908768.7569563,53400,174.22825622558594
1744908782.6380582,53500,168.1800079345703
1744908814.9861314,53700,173.6210174560547
1744908847.4522088,53900,171.0916290283203
1744908877.277738,54100,168.87969970703125
1744908939.6698353,54500,163.2200927734375
1744908972.0942843,54700,172.04791259765625
1744909035.2245219,55100,170.9788055419922
1744909068.0754187,55300,169.9116668701172
1744909130.6586852,55700,167.29226684570312
1744909223.0507495,56300,167.0504913330078
1744909255.6096659,56500,168.07872009277344
1744909318.4026606,56900,168.87464904785156
1744909571.7139425,58500,172.38168334960938
1744909585.4194722,58600,169.45249938964844
1744909634.3783824,58900,168.27005004882812
1744909664.9179864,59100,171.71377563476562
1744909728.0493035,59500,168.2518310546875
1744909760.620453,59700,165.34097290039062
1744910028.3523316,61400,162.92071533203125
1744910044.6569698,61500,158.5609588623047
1744910170.5419405,62300,155.50450134277344
1744910186.8204126,62400,160.99208068847656
1744910266.1004179,62900,159.4633331298828
1744910282.4115384,63000,163.00433349609375
1744910345.5569851,63400,161.3567657470703
1744910408.341043,63800,157.49354553222656
1744910503.469357,64400,162.61212158203125
1744910517.3858442,64500,162.76622009277344
1744910596.4694042,65000,170.1033172607422
1744910629.0610106,65200,163.36167907714844
1744910738.0883653,65900,162.26451110839844
1744910770.6389108,66100,161.43368530273438
1744910879.636959,66800,167.73362731933594
1744911008.0284994,67600,162.52999877929688
1744911021.7801843,67700,167.83123779296875
1744911149.5759585,68500,172.29208374023438
1744911275.64114,69300,169.39019775390625
1744911305.9849417,69500,164.7708740234375
1744911559.9030738,71100,172.61427307128906
1744911734.7452188,72200,175.42031860351562
1744911765.0630574,72400,178.16436767578125
1744911797.4637868,72600,176.369873046875
1744911811.3113377,72700,168.06114196777344
1744911844.068134,72900,174.5702362060547
1744911860.3333693,73000,179.95082092285156
1744911890.7364373,73200,173.18896484375
1744911906.998765,73300,176.67514038085938
1744911923.2317417,73400,171.5948486328125
1744912002.612329,73900,168.77076721191406
1744912098.3667915,74500,168.1499481201172
1744912412.9801133,76500,165.94931030273438
1744912587.7166595,77600,169.43922424316406
1744912603.849253,77700,169.9935302734375
1744912633.9731438,77900,168.7745819091797
1744912666.3294883,78100,165.74757385253906
1744912696.6400976,78300,168.89898681640625
1744912791.9266624,78900,165.5690460205078
1744913043.0277386,80500,165.9488983154297
1744913059.3999739,80600,167.83653259277344
1744913091.9644625,80800,166.8344268798828
1744913138.743191,81100,170.12396240234375
1744913280.89861,82000,175.40834045410156
1744913486.091337,83300,170.68658447265625
1744913614.1643012,84100,170.21644592285156
1744913660.9702318,84400,166.634765625
1744913882.4917543,85800,160.4835662841797
1744913961.7979956,86300,170.5320587158203
1744914024.6242497,86700,162.30616760253906
1744914104.0026703,87200,166.72360229492188
1744914309.120266,88500,161.31288146972656
1744914339.1922867,88700,162.60743713378906
1744914434.3771677,89300,171.8847198486328
1744914483.4396598,89600,164.8576202392578
1744914513.396958,89800,166.75204467773438
1744914576.3039997,90200,164.9933624267578
1744914592.623339,90300,166.67893981933594
1744914687.9426358,90900,169.64706420898438
1744915035.109022,93100,174.33709716796875
1744915065.2950191,93300,169.6851806640625
1744915223.7411141,94300,174.9513702392578
1744915335.4957824,95000,175.35910034179688
1744915556.4369466,96400,181.71310424804688
1744915807.4916058,98000,174.0848388671875
1744915853.9969637,98300,177.887451171875
1744916011.9774902,99300,180.29867553710938
1744916044.5925019,99500,184.37669372558594
1744916123.7678964,100000,170.6081085205078
1744916170.222152,100300,180.13583374023438
1744916202.6585333,100500,182.86521911621094
1744916374.5104194,101600,185.7612762451172
1744916485.9969492,102300,183.3665771484375
1744916548.6144226,102700,183.12432861328125
1744916578.7069018,102900,172.47308349609375
1744916706.2962124,103700,182.16929626464844
1744916720.0914044,103800,175.82777404785156
1744917019.9794767,105700,184.17245483398438
1744917082.9370248,106100,183.16285705566406
1744917241.0299797,107100,171.5793914794922
1744917257.17552,107200,185.4246063232422
1744917289.7575638,107400,178.92047119140625
1744917352.5850115,107800,177.78298950195312
1744917494.5024621,108700,180.7862091064453
1744917682.9145687,109900,182.40184020996094
1744917745.9280834,110300,186.5667724609375
1744917778.5998678,110500,185.3694610595703
1744917825.1215792,110800,182.58253479003906
1744917857.6667147,111000,185.21640014648438
1744917887.857667,111200,184.05224609375
1744918046.4666111,112200,186.37326049804688
1744918062.818604,112300,191.27943420410156
1744918109.158102,112600,193.37808227539062
1744918125.613438,112700,185.60653686523438
1744918171.9829965,113000,182.31065368652344
1744918220.9644268,113300,190.08963012695312
1744918251.18508,113500,190.13124084472656
1744918330.5807562,114000,191.92465209960938
1744918442.4931033,114700,193.2135009765625
1744918521.5626206,115200,176.95046997070312
1744918535.298222,115300,188.57717895507812
1744918726.8273964,116500,190.57186889648438
1744918882.4782884,117500,188.23130798339844
1744918915.6592448,117700,185.02099609375
1744918932.0325708,117800,185.20285034179688
1744919041.704272,118500,180.87582397460938
1744919120.8158457,119000,188.211669921875
1744919183.5902586,119400,193.72496032714844
1744919199.816522,119500,189.55276489257812
1744919389.2773807,120700,192.00364685058594
1744919517.1186233,121500,193.84657287597656
1744919580.3929694,121900,192.44454956054688
1744919659.4265583,122400,188.9646453857422
1744919689.622271,122600,194.86416625976562
1744919752.267275,123000,193.4577178955078
1744919989.9559667,124500,189.50730895996094
1744920022.4576726,124700,188.05416870117188
1744920101.6108134,125200,190.9652099609375
1744920115.5406756,125300,187.6647186279297
1744920148.224434,125500,193.01625061035156
1744920194.7602048,125800,192.48374938964844
1744920257.872852,126200,191.30767822265625
1744920353.1397307,126800,193.17892456054688
1744920416.2522151,127200,189.155517578125
1744920495.2155633,127700,194.49705505371094
1744920590.5686502,128300,190.18116760253906
1744920636.8550847,128600,188.93319702148438
1744920716.057789,129100,194.11817932128906
1744920762.4662964,129400,195.07720947265625
1744920841.934477,129900,195.4921112060547
1744920905.0289102,130300,194.2913360595703
1744920970.0575635,130700,191.46815490722656
1744921112.1086173,131600,195.6085968017578
1744921221.434601,132300,185.5391387939453
1744921267.911975,132600,182.3741912841797
1744921284.077664,132700,191.19631958007812
1744921426.385259,133600,191.64532470703125
1744921584.583338,134600,194.05406188964844
1744921726.700528,135500,191.6277313232422
1744921822.0372236,136100,195.02407836914062
1744921884.9168336,136500,197.27879333496094
1744922059.5320203,137600,194.3696746826172
1744922073.5568264,137700,191.80352783203125
1744922136.3348894,138100,195.77401733398438
1744922232.0419078,138700,194.01683044433594
1744922294.9778194,139100,195.38262939453125
1744922343.9546454,139400,189.8944854736328
1744922720.343425,141800,194.66680908203125
1744923020.2840803,143700,192.2810821533203
1744923053.118606,143900,187.52000427246094
1744923069.4057786,144000,196.52658081054688
1744923083.2273936,144100,194.48873901367188
1744923225.2804477,145000,194.41160583496094
1744923353.3731582,145800,192.3231964111328
1744923367.370537,145900,197.113525390625
1744923399.8559391,146100,187.71502685546875
1744923416.4070408,146200,193.39694213867188
1744923621.0978124,147500,193.73582458496094
1744923651.2920473,147700,202.96627807617188
1744923825.7496893,148800,200.6211395263672
1744923872.213606,149100,188.48667907714844
1744923935.05919,149500,191.01622009277344
1744924000.4981937,149900,198.39651489257812
1744924063.3959649,150300,193.07852172851562
1744924172.913364,151000,191.29237365722656
1744924189.4082499,151100,199.60211181640625
1744924235.6927924,151400,193.2365264892578
1744924284.829537,151700,194.50599670410156
1744924473.2911177,152900,198.82818603515625
1744924568.8491263,153500,195.7316131591797
1744924615.4513655,153800,193.27349853515625
1744924631.7418652,153900,197.3727569580078
1744924790.6292882,154900,190.05503845214844
1744924837.2123287,155200,192.6777801513672
1744925011.966914,156300,194.35061645507812
1744925058.5517776,156600,190.0681610107422
1744925105.2481396,156900,190.0165252685547
1744925184.3090782,157400,197.02737426757812
1744925233.1902347,157700,194.6436004638672
1744925375.3461087,158600,188.13661193847656
1744925547.6330721,159700,188.30784606933594
1744925627.2865856,160200,198.2079315185547
1744925659.7826517,160400,204.65345764160156
1744926037.0528061,162800,197.0306396484375
1744926165.1717553,163600,201.7436065673828
1744926195.4257417,163800,199.85745239257812
1744926244.2021365,164100,201.37332153320312
1744926337.1740603,164700,200.50762939453125
1744926353.749322,164800,193.73309326171875
1744926463.380256,165500,198.7749786376953
1744926591.871065,166300,193.0880126953125
1744926654.8971317,166700,204.8883819580078
1744926717.984474,167100,196.1907196044922
1744926780.8352535,167500,197.313720703125
1744926827.6696975,167800,198.44679260253906
1744926860.27264,168000,195.80331420898438
1744926955.7854767,168600,200.83953857421875
1744927097.7619455,169500,200.84449768066406
1744927223.6665626,170300,197.51475524902344
1744927256.4690385,170500,199.01187133789062
1744927302.8251815,170800,203.26516723632812
1744927333.0434606,171000,196.7752685546875
1744927349.260649,171100,200.6997528076172
1744927365.6926627,171200,206.09085083007812
1744927475.332211,171900,198.93800354003906
1744927540.3923173,172300,195.57095336914062
1744927554.4870472,172400,201.9045867919922
1744927666.465318,173100,187.51051330566406
1744927808.9126828,174000,197.5973663330078
1744927871.6143034,174400,199.4064483642578
1744927904.2933722,174600,204.0812530517578
1744928046.4806056,175500,203.45486450195312
1744928219.1133249,176600,205.1490020751953
1744928377.2996798,177600,197.89248657226562
1744928410.003686,177800,199.00347900390625
1744928519.110112,178500,197.90512084960938
1744928535.4610116,178600,203.57655334472656
1744928598.0789936,179000,189.76097106933594
1744928644.7465444,179300,204.9592742919922
1744928772.6375883,180100,196.0652618408203
1744929070.4885578,182000,203.11366271972656
1744929135.9734993,182400,197.86737060546875
1744929245.026215,183100,190.5647735595703
1744929340.3426855,183700,196.69236755371094
1744929370.7609575,183900,196.40455627441406
1744929513.1530428,184800,195.16311645507812
1744929575.834539,185200,192.96241760253906
1744929718.076059,186100,197.06517028808594
1744929797.4680417,186600,194.07086181640625
1744929813.7727356,186700,197.88035583496094
1744929830.0838099,186800,193.77825927734375
1744930082.3029363,188400,193.72592163085938
1744930161.3843026,188900,193.8284454345703
1744930272.9887006,189600,199.63082885742188
