Wall time,Step,Value
1746279310.6494968,500,15.783653259277344
1746279472.3410397,1500,16.98603630065918
1746279489.0401206,1600,16.485868453979492
1746279536.4147973,1900,16.26786231994629
1746279553.1137705,2000,16.377643585205078
1746279667.355673,2700,18.325780868530273
1746279681.5467484,2800,18.521263122558594
1746279893.4679563,4100,29.84320068359375
1746280004.4128125,4800,38.71461486816406
1746280020.779194,4900,38.694190979003906
1746280037.0026915,5000,42.90250778198242
1746280110.8036008,5500,69.5203628540039
1746280239.228406,6300,79.4882583618164
1746280255.7506032,6400,80.57091522216797
1746280302.8730757,6700,85.05221557617188
1746280319.2877676,6800,84.01847076416016
1746280365.1537852,7100,83.17880249023438
1746280381.0807316,7200,91.40105438232422
1746280471.5061314,7800,95.45237731933594
1746280551.5058324,8300,99.79434967041016
1746280664.4338844,9000,98.25093078613281
1746280819.9714081,10000,117.04405975341797
1746280883.8053024,10400,119.070556640625
1746280947.4615269,10800,111.20794677734375
1746281166.304886,12200,127.39025115966797
1746281230.3789372,12600,122.36644744873047
1746281246.8827689,12700,122.49037170410156
1746281277.1357427,12900,116.05194854736328
1746281309.4333978,13100,130.4759063720703
1746281401.7718277,13700,134.7646484375
1746281528.4435673,14500,132.20938110351562
1746281558.9521723,14700,125.506591796875
1746281575.415227,14800,128.82752990722656
1746281621.609541,15100,141.61866760253906
1746281730.0927248,15800,140.7139892578125
1746281776.809943,16100,139.49581909179688
1746281809.994758,16300,138.5890655517578
1746281840.749885,16500,133.949462890625
1746281952.4594235,17200,137.95526123046875
1746281967.9584475,17300,136.6042938232422
1746282044.7410452,17800,137.8592071533203
1746282155.2583237,18500,144.83506774902344
1746282171.8533907,18600,142.53286743164062
1746282267.0320206,19200,140.23728942871094
1746282279.938152,19300,146.79689025878906
1746282453.5719783,20400,143.33657836914062
1746282484.1987784,20600,146.90921020507812
1746282610.8644545,21400,141.9744415283203
1746282639.768546,21600,145.28005981445312
1746282782.459895,22500,146.96875
1746282862.1677876,23000,143.03579711914062
1746283097.3290112,24500,149.3835906982422
1746283113.9600224,24600,148.4122314453125
1746283315.1664145,25900,148.07373046875
1746283331.7142904,26000,149.2732391357422
1746283345.6415606,26100,149.03155517578125
1746283521.2691553,27200,151.35293579101562
1746283565.8420053,27500,145.18313598632812
1746283627.538902,27900,148.5766143798828
1746283693.7561746,28300,148.69110107421875
1746283741.0941362,28600,148.8596954345703
1746283788.0034208,28900,146.02713012695312
1746283820.2923098,29100,139.1253204345703
1746283897.281932,29600,150.84136962890625
1746283927.0347934,29800,148.94517517089844
1746283943.369093,29900,151.01368713378906
1746284103.454523,30900,152.26046752929688
1746284164.8000317,31300,151.76914978027344
1746284226.1339152,31700,152.0715789794922
1746284258.6131911,31900,153.34078979492188
1746284275.05678,32000,153.7103729248047
1746284322.1519172,32300,155.4180145263672
1746284557.626271,33800,153.04530334472656
1746284684.8103917,34600,154.3350372314453
1746284701.4032896,34700,150.80398559570312
1746284887.1127458,35900,157.5312957763672
1746284983.8249264,36500,158.60934448242188
1746284997.8955388,36600,155.869384765625
1746285014.354447,36700,154.55906677246094
1746285202.8907065,37900,152.45269775390625
1746285330.1379545,38700,161.23648071289062
1746285392.5567222,39100,154.615234375
1746285424.6802468,39300,153.23013305664062
1746285499.7832034,39800,154.3741912841797
1746285579.733472,40300,154.4096221923828
1746285612.95001,40500,159.40330505371094
1746285785.8339803,41600,159.03115844726562
