Wall time,Step,Value
1746103882.1477704,500,16.519371032714844
1746104038.2623231,1500,17.53883171081543
1746104053.9119923,1600,17.635295867919922
1746104098.4545481,1900,18.30351448059082
1746104114.133512,2000,17.837129592895508
1746104221.413308,2700,20.08662986755371
1746104234.7935355,2800,20.678316116333008
1746104433.5034645,4100,38.99229049682617
1746104534.8491144,4800,64.25702667236328
1746104549.9480112,4900,68.86616516113281
1746104565.3578296,5000,74.11116790771484
1746104638.2270226,5500,78.60032653808594
1746104759.4934878,6300,83.09207916259766
1746104774.535717,6400,88.197265625
1746104817.4190836,6700,84.49718475341797
1746104832.4807177,6800,83.63911437988281
1746104875.8625708,7100,94.03704833984375
1746104891.5334976,7200,94.81938171386719
1746104980.1278658,7800,95.79825592041016
1746105054.9578726,8300,103.6026840209961
1746105158.1796274,9000,108.40377807617188
1746105308.9619362,10000,114.64129638671875
1746105367.9499655,10400,111.3905029296875
1746105426.2206733,10800,114.53359985351562
1746105636.2333724,12200,117.15876770019531
1746105695.5642595,12600,123.08809661865234
1746105710.5029202,12700,119.97835540771484
1746105738.4843366,12900,123.68267822265625
1746105769.059052,13100,128.88482666015625
1746105860.3487673,13700,125.10639953613281
1746105979.7502408,14500,126.12567901611328
1746106007.824894,14700,116.49080657958984
1746106022.8539934,14800,130.17813110351562
1746106066.4282668,15100,135.96957397460938
1746106172.952008,15800,135.39112854003906
1746106217.5031395,16100,130.96682739257812
1746106248.4472625,16300,129.1019287109375
1746106277.058591,16500,135.97332763671875
1746106380.9827392,17200,138.5678253173828
1746106396.4750526,17300,138.8000030517578
1746106471.9102938,17800,136.97137451171875
1746106575.8656707,18500,137.2692108154297
1746106591.0431604,18600,138.15879821777344
1746106679.733483,19200,139.83193969726562
1746106692.8836045,19300,140.01022338867188
1746106859.1891623,20400,144.61509704589844
1746106887.4700072,20600,137.84664916992188
1746107007.1892147,21400,142.63731384277344
1746107035.880359,21600,142.72630310058594
1746107170.6319518,22500,136.78836059570312
1746107244.034216,23000,142.6770782470703
1746107469.0934741,24500,143.8404998779297
1746107484.1785305,24600,147.75027465820312
1746107677.0100787,25900,146.86685180664062
1746107692.4675915,26000,147.3608856201172
1746107705.6583831,26100,150.1220703125
1746107868.7567935,27200,144.16554260253906
1746107913.0009875,27500,148.37277221679688
1746107972.7483075,27900,148.20648193359375
1746108034.4147322,28300,149.44081115722656
1746108077.9443214,28600,147.9574432373047
