Wall time,Step,Value
1746178792.5570648,500,14.64841365814209
1746178949.8966026,1500,16.318639755249023
1746178966.0159836,1600,17.84373664855957
1746179012.2127182,1900,18.532054901123047
1746179028.3725338,2000,18.104557037353516
1746179139.3459551,2700,16.86280632019043
1746179153.1403756,2800,17.931243896484375
1746179359.3379285,4100,19.190073013305664
1746179467.9991174,4800,26.18128204345703
1746179484.1586707,4900,27.95410919189453
1746179500.436385,5000,27.957849502563477
1746179576.5616949,5500,30.43989372253418
1746179703.3461807,6300,36.848655700683594
1746179719.5289872,6400,37.29230880737305
1746179765.6820836,6700,36.1058464050293
1746179781.6166017,6800,36.75509262084961
1746179826.616556,7100,42.40276336669922
1746179842.527931,7200,41.697113037109375
1746179933.6343806,7800,47.69061279296875
1746180010.921221,8300,59.69146728515625
1746180121.09961,9000,46.05043411254883
1746180271.709954,10000,73.40977478027344
1746180333.8080194,10400,84.93431854248047
1746180395.5267544,10800,92.00334167480469
1746180608.1038797,12200,112.25959014892578
1746180669.9133427,12600,109.67780303955078
1746180685.898266,12700,110.16544342041016
1746180715.3267124,12900,106.10948181152344
1746180746.9970605,13100,101.76156616210938
1746180839.9928007,13700,116.5354232788086
1746180961.4066882,14500,124.76201629638672
1746180991.070208,14700,115.70626068115234
1746181007.012071,14800,123.92499542236328
1746181052.3923905,15100,112.75918579101562
1746181161.317953,15800,118.8705825805664
1746181205.3371348,16100,127.5712661743164
1746181237.2813911,16300,132.78646850585938
1746181266.9565802,16500,133.659912109375
1746181376.0249996,17200,134.22877502441406
1746181391.889149,17300,136.55975341796875
1746181469.2089806,17800,133.5506134033203
1746181574.4108446,18500,136.09425354003906
1746181590.3152926,18600,138.53158569335938
1746181683.4240618,19200,134.9683074951172
1746181696.888246,19300,137.12734985351562
1746181866.1480844,20400,136.20884704589844
1746181895.705387,20600,138.13186645507812
1746182020.4532497,21400,141.509765625
1746182050.3340998,21600,136.99977111816406
1746182187.2703898,22500,141.53688049316406
1746182264.609994,23000,140.82859802246094
1746182495.0495772,24500,139.8217315673828
1746182511.0387673,24600,138.91412353515625
1746182710.7301333,25900,134.4508819580078
1746182726.2636445,26000,133.97569274902344
1746182739.4766748,26100,140.20176696777344
1746182909.5282865,27200,145.7759246826172
1746182954.9477239,27500,144.3091583251953
1746183016.0863135,27900,140.59622192382812
1746183079.0357432,28300,143.08901977539062
1746183124.5678415,28600,145.37278747558594
1746183169.867085,28900,143.6045379638672
1746183201.595567,29100,146.83746337890625
1746183278.6835942,29600,144.89451599121094
1746183308.1783893,29800,145.84559631347656
1746183323.9838765,29900,148.02239990234375
1746183477.650377,30900,143.69961547851562
1746183538.6188278,31300,140.9436798095703
1746183600.3567972,31700,135.62413024902344
1746183632.1478338,31900,133.6995849609375
1746183647.831195,32000,132.69070434570312
1746183693.252147,32300,142.32518005371094
1746183924.5109446,33800,146.27223205566406
1746184046.6645947,34600,144.8345184326172
1746184062.5219223,34700,148.71849060058594
1746184246.095452,35900,150.57089233398438
1746184339.1832352,36500,151.10360717773438
1746184352.6600876,36600,147.6144256591797
1746184368.4197843,36700,151.37950134277344
1746184554.1192238,37900,151.54722595214844
1746184676.3113484,38700,150.7305450439453
1746184737.0504944,39100,151.61837768554688
1746184768.6538296,39300,149.0081024169922
1746184843.7457426,39800,150.24850463867188
1746184920.722015,40300,150.4599151611328
1746184952.701701,40500,150.964599609375
1746185122.5502207,41600,152.912841796875
1746185212.7554922,42200,152.9799346923828
1746185228.670965,42300,154.3621063232422
1746185443.9938445,43700,154.81121826171875
1746185459.927287,43800,154.86416625976562
1746185488.9037237,44000,149.9941864013672
1746185566.1840692,44500,152.8357696533203
1746185597.9987957,44700,152.41099548339844
1746185688.2320836,45300,157.34165954589844
1746185752.3035748,45700,155.8882293701172
1746185826.76605,46200,154.2553253173828
1746185890.5626032,46600,157.51922607421875
1746185935.5737495,46900,157.32302856445312
1746185964.7292304,47100,154.0680389404297
1746186028.53759,47500,155.11178588867188
1746186042.2479446,47600,156.21829223632812
1746186118.8045294,48100,154.33489990234375
1746186134.9265356,48200,156.84161376953125
1746186228.1349895,48800,155.68272399902344
1746186334.3021455,49500,156.18980407714844
1746186581.0678473,51100,148.20005798339844
1746186610.1391852,51300,157.00390625
1746186626.0400863,51400,152.81515502929688
1746186642.0998323,51500,154.69175720214844
1746186687.5084496,51800,154.5286865234375
1746186719.0194428,52000,152.89453125
1746186934.252334,53400,151.90773010253906
1746186947.9894876,53500,154.02902221679688
1746186979.9024656,53700,154.98268127441406
1746187011.7516506,53900,145.3263397216797
1746187040.8963625,54100,152.77500915527344
1746187102.2239869,54500,155.12887573242188
1746187134.1823707,54700,151.27366638183594
1746187195.3403318,55100,152.93275451660156
1746187226.9651837,55300,157.21539306640625
1746187288.648786,55700,154.789794921875
1746187378.6776814,56300,156.60165405273438
1746187410.6917682,56500,155.4241485595703
1746187471.7026172,56900,155.74688720703125
1746187718.6554003,58500,156.35235595703125
1746187732.3040411,58600,152.93760681152344
1746187779.9053988,58900,153.5226287841797
1746187809.3912318,59100,157.67547607421875
1746187870.5527058,59500,158.61471557617188
1746187902.7654493,59700,154.87881469726562
1746188086.1189823,60900,157.85015869140625
1746188163.2858696,61400,158.3652801513672
1746188179.3532813,61500,157.28500366210938
1746188301.6698105,62300,157.74996948242188
1746188317.6732483,62400,154.16136169433594
1746188394.6584466,62900,154.64442443847656
1746188410.4949808,63000,158.13031005859375
1746188471.556691,63400,155.96466064453125
1746188533.1370242,63800,157.23553466796875
1746188625.80154,64400,154.8626708984375
1746188639.3486218,64500,159.7425079345703
1746188716.3224692,65000,162.0547332763672
1746188747.9308627,65200,153.76675415039062
1746188854.421537,65900,153.97157287597656
1746188888.3189044,66100,155.79324340820312
1746189001.2770445,66800,155.13385009765625
1746189132.8174608,67600,159.17770385742188
1746189148.5235586,67700,158.36436462402344
1746189280.3937926,68500,159.50885009765625
1746189407.280353,69300,159.8643035888672
1746189437.593391,69500,160.80126953125
1746189698.0316446,71100,157.78138732910156
1746189881.8380198,72200,148.9193115234375
1746189913.1873717,72400,146.68475341796875
1746189947.0369835,72600,149.8596649169922
1746189961.1983793,72700,145.41757202148438
1746189994.2566073,72900,149.15145874023438
1746190011.0366745,73000,146.2878875732422
1746190042.2628527,73200,145.69053649902344
1746190060.707952,73300,135.6070098876953
1746190078.7192576,73400,151.5789337158203
1746190163.161614,73900,148.8188018798828
1746190261.8108063,74500,151.9635772705078
1746190584.7754586,76500,156.93690490722656
1746190714.4032204,77300,155.88180541992188
1746190764.976177,77600,152.7286834716797
1746190781.6183283,77700,155.3389892578125
1746190812.6603832,77900,155.10165405273438
1746190846.0269122,78100,149.91543579101562
1746190876.4257095,78300,154.2972412109375
1746190974.6669538,78900,150.986083984375
1746191232.3279223,80500,157.06983947753906
1746191248.97398,80600,155.38568115234375
1746191282.179484,80800,157.2096405029297
1746191329.5329661,81100,154.2345733642578
1746191456.8836856,81900,151.6666259765625
1746191473.23438,82000,148.8988037109375
1746191617.4908388,82900,154.92822265625
1746191683.809135,83300,156.97622680664062
1746191814.9179757,84100,155.97445678710938
1746191861.594371,84400,157.79835510253906
1746191892.311405,84600,156.38888549804688
1746192084.1563573,85800,160.11911010742188
1746192164.8605528,86300,163.77049255371094
1746192228.4438424,86700,160.4661102294922
1746192312.8697283,87200,157.17947387695312
1746192525.3918636,88500,157.03746032714844
1746192556.022,88700,158.8604278564453
1746192660.0176132,89300,157.64785766601562
1746192710.9196823,89600,158.41989135742188
1746192742.213727,89800,155.24595642089844
1746192806.7609653,90200,159.25048828125
1746192823.462067,90300,158.8751678466797
1746192920.4790595,90900,155.9134063720703
1746193241.2516465,92900,160.02212524414062
1746193275.016757,93100,159.3392791748047
1746193307.1081214,93300,159.14939880371094
1746193470.798391,94300,153.645263671875
1746193588.2423596,95000,155.27548217773438
1746193690.0529058,95600,159.0768280029297
1746193825.7297518,96400,160.3962860107422
1746194101.7686648,98000,158.63705444335938
1746194149.6122587,98300,161.9994659423828
1746194216.6767309,98700,161.34024047851562
1746194312.1621625,99300,161.62327575683594
1746194345.7273347,99500,162.01809692382812
1746194426.1794524,100000,161.50440979003906
1746194474.7727098,100300,163.33218383789062
1746194507.9104562,100500,162.87098693847656
1746194683.8380508,101600,158.1271514892578
1746194800.009481,102300,161.14297485351562
1746194868.310257,102700,155.67652893066406
1746194900.9822078,102900,159.9888458251953
1746195039.8292754,103700,160.80528259277344
1746195054.1574955,103800,165.7344512939453
1746195378.3198721,105700,165.95004272460938
1746195443.5552914,106100,165.30148315429688
1746195612.1910148,107100,165.01437377929688
1746195628.881721,107200,169.43788146972656
1746195661.891868,107400,160.53639221191406
1746195726.7045684,107800,162.07833862304688
1746195876.6571224,108700,161.32766723632812
1746196081.3126247,109900,164.45420837402344
1746196150.5170379,110300,163.6797332763672
1746196184.3224003,110500,167.22598266601562
1746196237.0294697,110800,162.99465942382812
1746196271.2119923,111000,166.51719665527344
1746196302.3769352,111200,169.2104034423828
1746196472.971888,112200,163.82455444335938
1746196492.9466329,112300,164.83294677734375
1746196547.4095817,112600,168.0534210205078
1746196564.4794352,112700,168.33876037597656
1746196616.3503776,113000,167.5305938720703
1746196669.922445,113300,167.89364624023438
1746196701.925132,113500,165.10704040527344
1746196789.8554971,114000,166.52957153320312
1746196907.7901595,114700,166.05332946777344
1746196986.9717662,115200,167.77554321289062
1746197000.6658206,115300,167.09225463867188
1746197195.778852,116500,165.91847229003906
1746197368.18308,117500,169.61944580078125
1746197401.273733,117700,170.42236328125
1746197417.6737392,117800,169.00579833984375
1746197540.3369203,118500,170.46298217773438
1746197639.342342,119000,164.6263427734375
1746197707.506246,119400,165.62921142578125
1746197723.8321257,119500,167.4668426513672
1746197913.1754532,120700,171.16346740722656
1746198038.6180053,121500,171.91766357421875
1746198099.9393692,121900,172.457763671875
1746198177.2333558,122400,169.33053588867188
1746198206.992303,122600,173.1337432861328
1746198268.3590271,123000,169.98727416992188
1746198499.8040786,124500,174.47988891601562
1746198531.8338768,124700,170.60159301757812
1746198609.4113948,125200,173.32443237304688
1746198622.8573742,125300,170.90081787109375
1746198654.528069,125500,170.77476501464844
1746198699.8217971,125800,172.74632263183594
1746198761.411155,126200,174.6134796142578
1746198855.0029466,126800,175.79190063476562
1746198916.5001273,127200,172.74574279785156
1746198993.2944505,127700,173.1272735595703
1746199086.499713,128300,172.99789428710938
1746199134.0915556,128600,176.6685791015625
1746199221.8420024,129100,172.61322021484375
1746199275.756334,129400,173.4787139892578
1746199365.1953743,129900,171.9426727294922
1746199384.178014,130000,172.4656982421875
1746199437.5116541,130300,173.46583557128906
1746199506.3069923,130700,170.8136444091797
1746199662.851862,131600,177.47608947753906
1746199779.9576488,132300,174.9467315673828
1746199830.5668027,132600,177.9855499267578
1746199847.4032843,132700,177.4677734375
1746200003.2786863,133600,172.34922790527344
1746200163.4804468,134600,175.9713897705078
1746200211.1315231,134900,174.4361114501953
1746200310.8974416,135500,171.51669311523438
