Wall time,Step,Value
1745253583.729864,500,15.843929290771484
1745253600.846038,600,17.568069458007812
1745253698.2040055,1200,16.288482666015625
1745253764.615432,1600,15.994877815246582
1745253780.7431934,1700,16.511890411376953
1745253826.570681,2000,17.766908645629883
1745253842.6697402,2100,18.388042449951172
1745253858.7145364,2200,17.684907913208008
1745253888.6047065,2400,18.82187271118164
1745253904.7070305,2500,18.033849716186523
1745253950.6515052,2800,18.235593795776367
1745253966.7330062,2900,18.84489631652832
1745254138.7536702,4000,23.83062744140625
1745254168.279774,4200,27.871578216552734
1745254277.4348252,4900,38.09917068481445
1745254292.989541,5000,45.98252487182617
1745254305.9249587,5100,50.901912689208984
1745254336.5412016,5300,65.34178161621094
1745254380.6733036,5600,75.20681762695312
1745254427.5294626,5900,78.27467346191406
1745254472.7258017,6200,79.47745513916016
1745254488.7952836,6300,80.6895523071289
1745254504.6993508,6400,80.61510467529297
1745254518.3135455,6500,83.20246124267578
1745254550.2711873,6700,82.9898910522461
1745254565.9583664,6800,80.08262634277344
1745254579.3724153,6900,81.9051742553711
1745254594.8793988,7000,81.7485580444336
1745254625.404472,7200,78.36097717285156
1745254640.7481954,7300,85.61966705322266
1745254729.2882662,7900,97.36846923828125
1745254760.9420545,8100,96.0960693359375
1745254776.7686837,8200,101.89655303955078
1745254806.357575,8400,101.86236572265625
1745254851.8934498,8700,103.98495483398438
1745254914.252518,9100,102.6064682006836
1745255062.4373477,10100,117.4149398803711
1745255078.2566981,10200,118.44569396972656
1745255126.286688,10500,116.41937255859375
1745255171.632141,10800,110.96479034423828
1745255187.4225245,10900,103.64190673828125
1745255216.4217234,11100,113.8811264038086
1745255322.7305772,11800,117.88359069824219
1745255399.829224,12300,123.81416320800781
1745255461.3715699,12700,117.70118713378906
1745255477.1934462,12800,117.27852630615234
1745255506.4949324,13000,118.26699829101562
1745255537.4392583,13200,108.79769897460938
1745255550.6289902,13300,127.08470153808594
1745255626.1225653,13800,137.7566375732422
1745255641.8337903,13900,126.671875
1745255750.9087858,14600,128.93679809570312
1745255780.2985504,14800,132.35208129882812
1745255796.1327121,14900,128.30813598632812
1745255840.5757394,15200,126.68096160888672
