Wall time,Step,Value
1745513667.0050178,1900,17.243989944458008
1745514114.1323516,4800,21.288238525390625
1745514343.3029418,6300,30.913320541381836
1745514359.3109524,6400,29.79951286315918
1745514480.4819138,7200,34.661190032958984
1745514749.4064023,9000,60.87326431274414
1745514959.1324718,10400,66.09659576416016
1745515017.6530704,10800,77.1723861694336
1745515327.1193662,12900,104.17215728759766
1745515799.6087768,16100,124.85021209716797
1745515858.5961294,16500,127.51265716552734
1745515978.695681,17300,125.868408203125
1745516259.1610522,19200,132.1059112548828
1745516435.4132662,20400,128.25973510742188
1745516817.6953318,23000,137.9211883544922
1745517039.0738657,24500,143.54437255859375
1745517260.9335566,26000,137.4150848388672
1745517598.6952329,28300,143.8352813720703
1745517641.723284,28600,142.52432250976562
1745518097.1982648,31700,150.77322387695312
1745518142.6500664,32000,151.46014404296875
1745518539.002321,34700,149.7847137451172
1745518715.1406772,35900,145.52232360839844
1745518831.8395958,36700,152.34768676757812
1745519126.6157863,38700,152.38742065429688
1745519360.789151,40300,158.92926025390625
1745519553.9874213,41600,158.39466857910156
1745519861.4475853,43700,157.80364990234375
1745519876.723298,43800,158.73263549804688
1745520008.4016469,44700,156.6830596923828
1745520227.079751,46200,154.6248779296875
1745520287.9936478,46600,158.6554718017578
1745520433.3475578,47600,158.6200714111328
1745520521.627063,48200,158.21176147460938
1745520949.425271,51100,159.35507202148438
1745521288.0873103,53400,159.230224609375
1745521361.4352124,53900,159.21792602539062
1745521389.559319,54100,161.06956481933594
1745521626.4689646,55700,165.77474975585938
1745521713.0767102,56300,164.69232177734375
1745522127.3512104,59100,164.34837341308594
1745522186.7289019,59500,162.47735595703125
1745522217.1803737,59700,164.36123657226562
1745522825.9650738,63800,165.80133056640625
1745522915.6810036,64400,162.798828125
1745522928.612147,64500,162.55955505371094
1745523136.7386496,65900,164.34519958496094
1745523270.4663353,66800,166.45606994628906
1745523390.9074528,67600,165.82366943359375
1745524073.057515,72200,170.17063903808594
1745524132.0300152,72600,166.71226501464844
1745524710.7483585,76500,174.78501892089844
1745524875.5316813,77600,171.4475555419922
1745524978.3463333,78300,169.76651000976562
1745525068.2005434,78900,171.69400024414062
1745525304.4452865,80500,176.19390869140625
1745525721.2854748,83300,175.61685180664062
1745526093.8526745,85800,179.75132751464844
1745526226.9996588,86700,181.74807739257812
1745526522.2353442,88700,176.99916076660156
1745527353.8727038,94300,182.2251739501953
1745528202.4607475,100000,180.5618438720703
